id_municipio,id_escola_sp,Abandonos,Aprovados,Reprovados,id_municipio_1,id_escola_sp_1,nivel_socio_economico
3509502,18065,0.0,0.0,0.0,3509502,18065,2.98
3509502,18077,0.0,0.0,0.0,3509502,18077,5.52
3509502,18107,0.0,95.12,4.88,3509502,18107,3.08
3509502,18119,4.24,90.68,5.08,3509502,18119,5.96
3509502,18120,0.91,95.91,3.18,3509502,18120,NA
3509502,18144,0.0,0.0,0.0,3509502,18144,1.43
3509502,18193,0.0,0.0,0.0,3509502,18193,5.1
3509502,18200,0.63,82.91,16.46,3509502,18200,3.24
3509502,18211,0.0,99.12,0.88,3509502,18211,2.72
3509502,18235,0.0,97.87,2.13,3509502,18235,0.45
3509502,18247,0.0,89.79,10.21,3509502,18247,2.74
3509502,18260,0.0,85.03,14.97,3509502,18260,1.98
3509502,18272,0.0,83.74,16.26,3509502,18272,NA
3509502,18284,0.68,95.55,3.77,3509502,18284,2.03
3509502,18296,0.0,99.4,0.6,3509502,18296,1.37
3509502,18302,1.09,88.43,10.48,3509502,18302,2.54
3509502,18314,0.31,97.51,2.18,3509502,18314,2.47
3509502,18326,NA,100.0,0.0,3509502,18326,1.41
3509502,18338,0.0,0.0,0.0,3509502,18338,1.53
3509502,18348,0.0,0.0,0.0,3509502,18348,2.7
3509502,18351,1.99,90.37,7.64,3509502,18351,2.79
3509502,18387,0.0,0.0,0.0,3509502,18387,3.55
3509502,18399,4.6,NA,14.94,3509502,18399,4.6
3509502,18429,0.0,0.0,0.0,3509502,18429,2.25
3509502,18454,0.0,0.0,0.0,3509502,18454,2.11
3509502,18512,0.0,0.0,0.0,3509502,18512,0.03
3509502,18521,0.0,99.33,0.67,3509502,18521,2.54
3509502,18533,0.0,84.3,15.7,3509502,18533,5.58
3509502,18545,0.0,0.0,0.0,3509502,18545,3.14
3509502,18557,0.0,0.0,0.0,3509502,18557,2.49
3509502,18569,0.0,98.67,1.33,3509502,18569,4.12
3509502,18570,0.0,93.19,6.81,3509502,18570,1.73
3509502,18582,0.0,NA,0.0,3509502,18582,2.49
3509502,18703,0.0,0.0,0.0,3509502,18703,4.44
3509502,18715,1.6,96.8,1.6,3509502,18715,3.24
3509502,18764,NA,99.08,0.92,3509502,18764,1.88
3509502,18776,0.0,0.0,0.0,3509502,18776,2.49
3509502,18788,1.29,96.13,NA,3509502,18788,4.45
3509502,18806,1.9,93.36,4.74,3509502,18806,1.03
3509502,18818,10.35,85.17,4.48,3509502,18818,5.53
3509502,18867,0.0,95.97,NA,3509502,18867,2.41
3509502,18879,0.24,96.9,2.86,3509502,18879,1.93
3509502,18880,0.0,93.4,6.6,3509502,18880,2.66
3509502,18922,0.0,90.55,9.45,3509502,18922,2.37
3509502,18934,0.0,0.0,0.0,3509502,18934,2.57
3509502,35907,0.0,0.0,0.0,3509502,35907,4.9
3509502,35932,0.0,94.62,5.38,3509502,35932,3.53
3509502,37148,0.0,0.0,0.0,3509502,37148,1.17
3509502,37965,0.0,100.0,0.0,3509502,37965,5.39
3509502,40423,0.0,0.0,0.0,3509502,40423,5.35
3509502,40861,0.0,0.0,0.0,3509502,40861,4.78
3509502,42614,0.0,0.0,0.0,3509502,42614,3.73
3509502,42626,6.06,90.91,3.03,3509502,42626,2.55
3509502,42648,0.0,0.0,0.0,3509502,42648,1.45
3509502,42651,0.0,89.54,10.46,3509502,42651,3.5
3509502,47120,0.0,89.74,10.26,3509502,47120,4.17
3509502,47181,0.0,0.0,0.0,3509502,47181,3.46
3509502,47193,0.0,0.0,0.0,3509502,47193,5.61
3509502,65626,0.0,87.88,12.12,3509502,65626,4.88
3509502,65785,0.0,0.0,0.0,3509502,65785,5.65
3509502,563146,0.0,0.0,0.0,3509502,563146,3.28
3509502,564990,4.96,76.03,19.01,3509502,564990,3.28
3509502,901088,3.12,93.75,3.13,3509502,901088,5.84
3509502,903875,7.05,70.83,22.12,3509502,903875,4.43
3509502,903887,0.0,0.0,0.0,3509502,903887,5.69
3509502,903905,0.0,0.0,0.0,3509502,903905,4.34
3509502,905458,0.0,0.0,0.0,3509502,905458,5.82
3509502,907364,NA,0.0,0.0,3509502,907364,3.3
3509502,907418,0.0,0.0,0.0,3509502,907418,5.72
3509502,912924,0.0,100.0,0.0,3509502,912924,1.76
3509502,914873,0.0,0.0,0.0,3509502,914873,4.48
3509502,914885,0.0,0.0,NA,3509502,914885,1.54
3509502,920502,0.0,0.0,0.0,3509502,920502,3.4
3509502,922420,0.0,0.0,0.0,3509502,922420,2.05
3509502,18156,0.81,92.74,6.45,3509502,18156,4.48
3509502,18259,0.0,98.59,1.41,3509502,18259,3.12
3509502,18478,0.0,98.86,1.14,3509502,18478,2.15
3509502,18485,0.0,0.0,0.0,3509502,18485,4.02
3509502,18491,3.19,93.62,3.19,3509502,18491,4.69
3509502,18508,2.58,96.39,1.03,3509502,18508,2.94
3509502,18594,3.41,92.42,4.17,3509502,18594,1.56
3509502,18600,0.0,0.0,0.0,3509502,18600,4.94
3509502,18612,0.0,0.0,0.0,3509502,18612,3.59
3509502,18697,1.1,96.17,2.73,3509502,18697,4.01
3509502,18740,0.0,0.0,0.0,3509502,18740,1.61
3509502,18797,0.35,88.73,10.92,3509502,18797,1.96
3509502,18824,0.0,0.0,0.0,3509502,18824,4.23
3509502,18831,0.0,0.0,0.0,3509502,18831,NA
3509502,18855,2.05,91.28,6.67,3509502,18855,3.01
3509502,18910,6.87,80.92,12.21,3509502,18910,4.27
3509502,39895,4.65,NA,6.05,3509502,39895,4.73
3509502,39901,1.42,89.81,8.77,3509502,39901,4.44
3509502,40859,0.0,96.08,3.92,3509502,40859,4.66
3509502,40873,0.0,100.0,0.0,3509502,40873,5.02
3509502,42638,0.0,0.0,0.0,3509502,42638,1.85
3509502,45664,0.5,94.18,5.32,3509502,45664,3.64
3509502,45676,5.47,88.49,6.04,3509502,45676,4.47
3509502,45697,1.28,98.72,0.0,3509502,45697,4.14
3509502,45706,0.0,0.0,0.0,3509502,45706,4.96
3509502,45718,3.06,89.59,7.35,3509502,45718,4.58
3509502,46176,0.0,87.82,12.18,3509502,46176,3.63
3509502,47144,0.0,0.0,0.0,3509502,47144,5.56
3509502,47156,1.26,81.93,16.81,3509502,47156,4.86
3509502,47168,0.0,0.0,0.0,3509502,47168,2.8
3509502,47173,0.0,0.0,0.0,3509502,47173,4.68
3509502,47200,2.04,88.22,9.74,3509502,47200,4.12
3509502,47776,0.0,0.0,0.0,3509502,47776,5.56
3509502,65473,NA,0.0,0.0,3509502,65473,5.78
3509502,65535,0.0,97.7,2.3,3509502,65535,5.57
3509502,127012,0.0,98.98,1.02,3509502,127012,5.33
3509502,127784,2.34,92.97,4.69,3509502,127784,3.52
3509502,127796,6.29,82.81,10.9,3509502,127796,5.59
3509502,191309,0.0,0.0,0.0,3509502,191309,6.02
3509502,430705,11.62,80.47,7.91,3509502,430705,5.62
3509502,432842,0.0,92.59,7.41,3509502,432842,5.07
3509502,436012,4.5,90.99,4.51,3509502,436012,2.36
3509502,445897,7.21,84.68,8.11,3509502,445897,4.95
3509502,461635,0.0,0.0,0.0,3509502,461635,4.95
3509502,561411,15.32,66.13,18.55,3509502,561411,4.28
3509502,577066,0.0,0.0,0.0,3509502,577066,4.28
3509502,901097,2.09,94.78,3.13,3509502,901097,2.64
3509502,901106,0.0,0.0,0.0,3509502,901106,3.43
3509502,901118,0.0,100.0,0.0,3509502,901118,4.77
3509502,901124,14.4,80.61,4.99,3509502,901124,7.03
3509502,901131,20.12,75.15,4.73,3509502,901131,4.59
3509502,902559,2.24,89.94,7.82,3509502,902559,3.85
3509502,903899,2.82,90.7,6.48,3509502,903899,3.81
3509502,903917,0.0,0.0,NA,3509502,903917,3.77
3509502,904909,0.0,0.0,0.0,3509502,904909,4.26
3509502,905434,0.0,0.0,0.0,3509502,905434,6.17
3509502,905446,0.0,0.0,0.0,3509502,905446,5.62
3509502,905461,0.0,96.16,3.84,3509502,905461,5.25
3509502,905471,0.55,97.07,2.38,3509502,905471,4.42
3509502,907352,3.47,87.83,8.7,3509502,907352,3.65
3509502,907376,9.12,84.56,6.32,3509502,907376,5.07
3509502,907388,11.11,79.63,9.26,3509502,907388,5.98
3509502,907397,0.0,88.66,11.34,3509502,907397,6.46
3509502,907406,5.73,85.35,8.92,3509502,907406,2.99
3509502,909397,0.0,0.0,0.0,3509502,909397,5.01
3509502,911744,0.0,0.0,0.0,3509502,911744,7.22
3509502,913005,0.0,0.0,0.0,3509502,913005,3.65
3509502,913923,7.34,81.65,11.01,3509502,913923,2.85
3509502,913984,0.0,97.0,3.0,3509502,913984,6.6
3509502,914897,1.89,93.8,4.31,3509502,914897,5.7
3509502,915580,0.0,0.0,NA,3509502,915580,4.27
3509502,915592,7.96,89.05,2.99,3509502,915592,6.02
3509502,917758,3.11,78.29,18.6,3509502,917758,2.84
3509502,922432,0.0,0.0,0.0,3509502,922432,NA
3509502,922985,4.67,92.44,2.89,3509502,922985,4.12
3509502,923394,0.29,84.8,14.91,3509502,923394,5.71
3509502,923655,5.05,91.7,3.25,3509502,923655,5.43
3509502,924349,0.0,0.0,0.0,3509502,924349,5.02
3509502,924544,3.87,93.92,2.21,3509502,924544,2.56
3509502,924556,0.0,0.0,0.0,3509502,924556,5.16
3509502,924568,NA,0.0,0.0,3509502,924568,4.53
3509502,924573,3.69,93.6,2.71,3509502,924573,2.7
3509502,924921,0.0,0.0,0.0,3509502,924921,6.51
3509502,924933,2.96,75.37,21.67,3509502,924933,5.77
3509502,924945,6.64,88.04,5.32,3509502,924945,4.87
3509502,924957,0.0,0.0,0.0,3509502,924957,4.95
