CountryIsoCode,Country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
AFG,Afghanistan,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2015,10.483,
AFG,Afghanistan,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2016,10.501,
AFG,Afghanistan,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2017,10.52,
AFG,Afghanistan,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2018,10.538,
AFG,Afghanistan,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2019,10.621,
AFG,Afghanistan,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2020,10.705,
AFG,Afghanistan,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2021,10.705,
AFG,Afghanistan,HDI,Human Development Index,,eys,Expected Years of Schooling (years),2022,10.705,
AFG,Afghanistan,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2015,2142.689,
AFG,Afghanistan,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2016,2122.363,
AFG,Afghanistan,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2017,2123.676,
AFG,Afghanistan,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2018,2082.114,
AFG,Afghanistan,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2019,2112.986,
AFG,Afghanistan,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2020,1986.804,
AFG,Afghanistan,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2021,1534.135,
AFG,Afghanistan,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2022,1335.206,
AFG,Afghanistan,HDI,Human Development Index,,hdi,Human Development Index (value),2015,0.479,
AFG,Afghanistan,HDI,Human Development Index,,hdi,Human Development Index (value),2016,0.483,
AFG,Afghanistan,HDI,Human Development Index,,hdi,Human Development Index (value),2017,0.485,
AFG,Afghanistan,HDI,Human Development Index,,hdi,Human Development Index (value),2018,0.486,
AFG,Afghanistan,HDI,Human Development Index,,hdi,Human Development Index (value),2019,0.492,
AFG,Afghanistan,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.488,
AFG,Afghanistan,HDI,Human Development Index,,hdi,Human Development Index (value),2021,0.473,
AFG,Afghanistan,HDI,Human Development Index,,hdi,Human Development Index (value),2022,0.462,
AFG,Afghanistan,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2015,62.659,
AFG,Afghanistan,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2016,63.136,
AFG,Afghanistan,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2017,63.016,
AFG,Afghanistan,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2018,63.081,
AFG,Afghanistan,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2019,63.565,
AFG,Afghanistan,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,62.575,
AFG,Afghanistan,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2021,61.982,
AFG,Afghanistan,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2022,62.879,
AFG,Afghanistan,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2015,2.124,
AFG,Afghanistan,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2016,2.268,
AFG,Afghanistan,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2017,2.411,
AFG,Afghanistan,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2018,2.555,
AFG,Afghanistan,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2019,2.698,
AFG,Afghanistan,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,2.842,
AFG,Afghanistan,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2021,2.985,
AFG,Afghanistan,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2022,2.515,
AFG,Afghanistan,HDI,Human Development Index,,hdi_rank,HDI Rank,2022,182,
AGO,Angola,HDI,Human Development Index,,hdi_rank,HDI Rank,2022,150,
AGO,Angola,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2015,5.316,
AGO,Angola,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2016,5.417,
AGO,Angola,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2017,5.521,
AGO,Angola,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2018,5.627,
AGO,Angola,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2019,5.735,
AGO,Angola,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2020,5.844,
AGO,Angola,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2021,5.844,
AGO,Angola,HDI,Human Development Index,,mys,Mean Years of Schooling (years),2022,5.844,
AGO,Angola,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2015,60.655,
AGO,Angola,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2016,61.092,
AGO,Angola,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2017,61.68,
AGO,Angola,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2018,62.144,
AGO,Angola,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2019,62.448,
AGO,Angola,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2020,62.261,
AGO,Angola,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2021,61.643,
AGO,Angola,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2022,61.929,
AGO,Angola,HDI,Human Development Index,,hdi,Human Development Index (value),2015,0.591,
AGO,Angola,HDI,Human Development Index,,hdi,Human Development Index (value),2016,0.595,
AGO,Angola,HDI,Human Development Index,,hdi,Human Development Index (value),2017,0.597,
AGO,Angola,HDI,Human Development Index,,hdi,Human Development Index (value),2018,0.598,
AGO,Angola,HDI,Human Development Index,,hdi,Human Development Index (value),2019,0.597,
AGO,Angola,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.594,
AGO,Angola,HDI,Human Development Index,,hdi,Human Development Index (value),2021,0.59,
AGO,Angola,HDI,Human Development Index,,hdi,Human Development Index (value),2022,0.591,
AGO,Angola,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2015,7585.829,
AGO,Angola,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2016,7111.866,
AGO,Angola,HDI,Human Development Index,,gnipc,Gross National Income Per Capita (2017 PPP$),2017,6772.546,
